t [s];P [Pa];Q [m^3/s];A [m^2];P_f [Pa];P_b [Pa];Q_f [m^3/s];Q_b [m^3/s]
0.60264900662251653;13446.572456234035;-7.5424491850883835e-05;0.0029889502209203109;16.913049739397604;96.844912846647816;1.653923000210438e-05;-9.470440356911753e-05
0.60596026490066224;13445.757962586045;-7.8165173567013065e-05;0.0029886761747022665;15.187485035345507;97.799301066446532;1.4851804495553109e-05;-9.5637697476589565e-05
0.60927152317880795;13444.986786101792;-8.0785892981036372e-05;0.0029884167146459989;13.546671049893494;98.713128419405336;1.3247256509576824e-05;-9.6531327011515266e-05
0.61258278145695366;13444.259799469299;-8.3284070501938364e-05;0.0029881721324485056;11.992278744693426;99.585554867754311;1.1727220073491902e-05;-9.7384470703013731e-05
0.61589403973509937;13443.577833612448;-8.5657250629521758e-05;0.0029879427058182198;10.525892809038321;100.41578350892877;1.0293244851083515e-05;-9.8196349262013468e-05
0.61920529801324509;13442.941676317967;-8.7903104410929882e-05;0.0029877286980230177;9.1490098108546825;101.20306108845824;8.9467943324700955e-06;-9.8966226082809809e-05
0.62251655629139069;13442.352070899313;-9.0019431750339643e-05;0.0029875303574503219;7.863036444358297;101.94667845717206;7.6892441204867347e-06;-9.9693407690161655e-05
0.6258278145695364;13441.80971490153;-9.2004163569674849e-05;0.0029873479171806171;6.6692878773924313;102.64597097380249;6.5218803145533943e-06;-0.00010037724413299831
0.62913907284768211;13441.315258851195;-9.3855363818444855e-05;0.0029871815945757183;5.5689862013013531;103.30031885415991;5.4458979948072605e-06;-0.00010101712932587417
0.63245033112582782;13440.869305055461;-9.5571231331066848e-05;0.002987031590883091;4.5632589860386723;103.90914746813658;4.4623998091517302e-06;-0.00010161250133941307
0.63576158940397354;13440.472406454175;-9.715010153026128e-05;0.0029868980908575021;3.6531379430306821;104.47192758594446;3.5723946656677096e-06;-0.00010216284264109762
0.63907284768211925;13440.125065528975;-9.8590447975429839e-05;0.0029867812624012917;2.8395576981504327;104.9881755749492;2.7767965327126164e-06;-0.00010266768028775724
0.64238410596026485;13439.8277332731;-9.9890883755044549e-05;0.0029866812562244645;2.1233546769639595;105.45745354863875;2.0764233488027184e-06;-0.0001031265860712417
0.64569536423841056;13439.580808225603;-0.00010105016272243891;0.0029865982055258004;1.5052661042194551;105.87936946924833;1.471996044217696e-06;-0.00010353917661877931
0.64900662251655628;13439.384635573468;-0.00010206718057456154;0.0029865322256961303;0.98592911935577732;106.25357720562852;9.6413767605834161e-07;-0.00010390511344956582
0.65231788079470199;13439.239506324984;-0.00010294097577350742;0.002986483414044869;0.56588000960508467;106.57977654797227;5.5337267829613782e-07;-0.00010422410298916266
0.6556291390728477;13439.145656557577;-0.00010367073031086646;0.0029864518495508522;0.24555356204384182;106.85771318103353;2.4012622815225364e-07;-0.00010449589654331403
0.65894039735099341;13439.103266743077;-0.00010425577031516171;0.002986437592638439;0.025282535752747748;107.08717861749602;2.4723729917990538e-08;-0.00010472029023278254
0.66225165562913912;13439.112461153249;-0.00010469556650286449;0.002986440684979831;-0.094702744983056419;107.26801009335149;-9.2609582850812407e-08;-0.00010489712489104267
0.66556291390728473;13439.173307348368;-0.00010498973447389343;0.0029864611493245;-0.11924052655146156;107.40005058054302;-1.1660501947259141e-07;-0.00010502624696074025
0.66887417218543044;13439.280810053991;-0.00010514285198021278;0.002986497305781675;-0.11991050914015133;107.48265306872624;-1.1726019380892456e-07;-0.00010510702373204124
0.67218543046357615;13439.362742559586;-0.00010522428392585011;0.0029865248623432736;-0.12017836611039101;107.51563847663567;-1.1752213048568674e-07;-0.00010513928008181431
0.67549668874172186;13439.395460110525;-0.00010525680221229994;0.0029865358663533604;-0.12004763010981279;107.49954646518819;-1.1739428406985983e-07;-0.00010512354374315153
0.67880794701986757;13439.379498835078;-0.00010524093802722133;0.0029865304980383786;-0.1195225351709972;107.43489887098613;-1.1688079501263646e-07;-0.0001050603250187898
0.68211920529801329;13439.315376335815;-0.00010517720581380237;0.0029865089315289552;-0.11860448385881384;107.32176802396431;-1.1598303487863522e-07;-0.00010494969463999574
0.68543046357615889;13439.203163540105;-0.00010506567767487432;0.0029864711908555645;-0.11729408408440989;107.16002781984415;-1.1470159814186363e-07;-0.00010479152928970434
0.6887417218543046;13439.04273373576;-0.00010490623088784616;0.0029864172337080498;-0.11559381359641563;106.94968141290917;-1.1303890778748761e-07;-0.00010458583205248095
0.69205298013245031;13438.834087599313;-0.00010469887096026839;0.0029863470607534351;-0.11350885286054435;106.69096570813947;-1.1100002977979746e-07;-0.00010433283459712703
0.69536423841059603;13438.577456855279;-0.00010444383462690679;0.0029862607504965001;-0.11104604946079277;106.38422689384686;-1.0859166035444764e-07;-0.00010403287546034655
0.69867549668874174;13438.273180844386;-0.00010414146712070096;0.0029861584177614505;-0.10821302898705554;106.02981333799679;-1.0582125655739165e-07;-0.00010368629531032122
0.70198675496688745;13437.92160030901;-0.00010379211656687857;0.0029860401779656402;-0.10501805068608761;105.62805987329727;-1.02696895085974e-07;-0.00010329342157913774
0.70529801324503316;13437.523041822611;-0.00010339611847422367;0.0029859061418801157;-0.10147042839820486;105.17934301788354;-9.9227683921694225e-08;-0.00010285462246296042
0.70860927152317876;13437.077872589485;-0.00010295385014688207;0.0029857564340557727;-0.097580738756196439;104.6841111738118;-9.5423965927369337e-08;-0.00010237033645306461
0.71192052980132448;13436.586530435055;-0.00010246576041899194;0.0029855912029037317;-0.093360722025632725;104.14287716733352;-9.1297221881607411e-08;-0.0001018410650409866
0.71523178807947019;13436.049516445308;-0.00010193236226286817;0.002985410618213372;-0.088822999084801069;103.55618736689925;-8.6859793708677859e-08;-0.00010126734251910053
0.7185430463576159;13435.467364367814;-0.00010135420231280917;0.002985214860855841;-0.083980899477094084;102.92460425725795;-8.2124716336704813e-08;-0.0001006497189398674
0.72185430463576161;13434.840623357781;-0.00010073184365620407;0.0029850041169762003;-0.078848404896202595;102.24870349819787;-7.710566243040716e-08;-9.9988757239586511e-05
0.72516556291390732;13434.169855093302;-0.00010006586290201687;0.0029847785770179655;-0.073440167031723291;101.52908080918255;-7.181695984147482e-08;-9.9285039970864979e-05
0.72847682119205293;13433.455640642151;-9.935685693070641e-05;0.0029845384380264091;-0.067771504922621517;100.76635664772807;-6.627358902022579e-08;-9.8539173877591727e-05
0.73178807947019864;13432.698585142805;-9.8605447466611909e-05;0.0029842839052163085;-0.061858391529145962;99.961179911218977;-6.0491169884948828e-08;-9.7751793514933591e-05
0.73509933774834435;13431.89932151969;-9.7812284684818489e-05;0.0029840151932144141;-0.055717430695754189;99.114230795814308;-5.4485939295495907e-08;-9.6923564045051056e-05
0.73841059602649006;13431.058513365118;-9.6978049984346501e-05;0.0029837325270211973;-0.049365837763300391;98.226224628526154;-4.8274732091304495e-08;-9.6055184984481198e-05
0.74172185430463577;13430.176858790763;-9.6103459716572452e-05;0.0029834361432979793;-0.042821402442445589;97.297913769614127;-4.1874944786223742e-08;-9.5147392064483718e-05
0.74503311258278149;13429.255092367172;-9.5189267009269891e-05;0.0029831262910106899;-0.036102430944556119;96.33008698304792;-3.5304478981414562e-08;-9.4200956615414933e-05
0.7483443708609272;13428.293984552103;-9.423626109439629e-05;0.0029828032312290424;-0.02922766957025047;95.323566318363604;-2.8581666635840757e-08;-9.321668251750952e-05
0.7516556291390728;13427.294338648793;-9.324526418414531e-05;0.0029824672360952709;-0.022216228380603553;94.279203947697141;-2.172519543404018e-08;-9.2195403107813887e-05
0.75496688741721851;13426.256987719316;-9.2217128303247883e-05;0.0029821185877778431;-0.015087513723873514;93.197880222138153;-1.4754042794296035e-08;-9.1137979279509132e-05
0.75827814569536423;13425.182792708414;-9.1152733322303378e-05;0.002981757577832117;-0.0078611721930137435;92.08050345141632;-7.6874210736215096e-09;-9.0045299266458046e-05
0.76158940397350994;13424.072642279223;-9.0052986687531617e-05;0.0029813845071363265;-0.0005570386481359435;90.928010449570976;-5.4472673247435628e-10;-8.8918279176820772e-05
0.76490066225165565;13422.927453410923;-8.8918823903553202e-05;0.0029809996860834585;0.0068049172344792908;89.741367050259953;6.6545119313772343e-09;-8.7757863496970508e-05
0.76821192052980136;13421.748171967494;-8.775120898503908e-05;0.0029806034347632155;0.014204649317431262;88.521568013578133;1.3890691849212567e-08;-8.6565025000372739e-05
0.77152317880794707;13420.535772662895;-8.6551134308523469e-05;0.0029801960829409979;0.021622096899331922;87.269636440245876;2.1144195710278644e-08;-8.5340764174721392e-05
0.77483443708609268;13419.291258537145;-8.5319619979011056e-05;0.0029797779698724678;0.029037248102785185;85.986622940540258;2.8395453948454064e-08;-8.4086108409238449e-05
0.77814569536423839;13418.015660188643;-8.4057712955289937e-05;0.0029793494440362197;0.036430202575314041;84.673604871908907;3.5625006057561393e-08;-8.2802111249138575e-05
0.7814569536423841;13416.710035074484;-8.2766486243080956e-05;0.002978910862889339;0.043781232929237746;83.331685729341302;4.2813560673033633e-08;-8.1489851799474534e-05
0.78476821192052981;13415.37546696227;-8.1447038238801443e-05;0.0029784625926739168;0.051070845015626531;81.961994671869576;4.9942054515581777e-08;-8.0150434262105303e-05
0.78807947019867552;13414.013065516885;-8.0100492207589664e-05;0.0029780050082689642;0.058279837625821784;80.565686068040748;5.6991710769044339e-08;-7.8784987491210408e-05
0.79139072847682124;13412.623965905666;-7.8727995780441306e-05;0.002977538493048586;0.065389361856578176;79.143938987925154;6.3944097138180417e-08;-7.7394664496530972e-05
0.79470198675496684;13411.209328349782;-7.7330720399392734e-05;0.0029770634387221804;0.072380980097616288;77.697956607872612;7.078118352737823e-08;-7.5980641861277169e-05
0.79801324503311255;13409.77033758797;-7.5909860677749727e-05;0.0029765802451453458;0.079236724255341784;76.228965555756588;7.7485398982553424e-08;-7.4544119101849107e-05
0.80132450331125826;13408.308202280012;-7.4466633702866483e-05;0.0029760893201107252;0.085939152855456058;74.738215227617189;8.4039687528909428e-08;-7.3086317999580971e-05
0.80463576158940397;13406.824154380472;-7.3002278312051997e-05;0.0029755910791290623;0.092471406736120088;73.226977097264381;9.0427562633001109e-08;-7.1608481925603614e-05
0.80794701986754969;13405.319448504;-7.1518054362970548e-05;0.0029750859452076649;0.098817263198835548;71.696544012174925;9.663316015745248e-08;-7.0111875152304446e-05
0.8112582781456954;13403.795361275374;-7.0015241992146929e-05;0.0029745743486239988;0.1049611885112931;70.148229461231352;1.0264128970417051e-07;-6.8597782137252094e-05
0.81456953642384111;13402.253190649742;-6.8495140847547859e-05;0.0029740567266895728;0.11088838861889982;68.583366800893032;1.0843748420193743e-07;-6.706750676646786e-05
0.81788079470198671;13400.694255189512;-6.6959069282265858e-05;0.0029735335234995714;0.11658485788515449;67.00330843804737;1.1400804757457904e-07;-6.5522371555342998e-05
0.82119205298013243;13399.119893295932;-6.5408363507768355e-05;0.00297300518966765;0.12203742563945141;65.409424972691141;1.193401002551213e-07;-6.3963716810263988e-05
0.82450331125827814;13397.53146239833;-6.3844376710008803e-05;0.002972472182046874;0.12723380033551734;63.803104304063865;1.2442162236913601e-07;-6.2392899754503577e-05
0.82781456953642385;13395.930338104399;-6.2268478132134384e-05;0.0029719349634380133;0.1321626111350902;62.185750699594735;1.2924149440310333e-07;-6.081129361774995e-05
0.83112582781456956;13394.31791331073;-6.0682052123346789e-05;0.0029713940022849232;0.13681344674385088;60.558783823929147;1.3378953517774239e-07;-5.9220286686589946e-05
