t [s];P [Pa];Q [m^3/s];A [m^2];P_f [Pa];P_b [Pa];Q_f [m^3/s];Q_b [m^3/s]
0.0;13332.0;0.0;0.0029505243523804759;0.55521453388925246;0.00074516208636388193;5.3957235358843185e-07;-7.2416847220853419e-10
0.0033112582781456954;13332.555959695976;5.3884818511622331e-07;0.0029507102126124615;2.214466524293905;0.002828995127990952;2.1520778753503688e-06;-2.7492932305284582e-09
0.0066225165562913907;13334.217295519422;2.1493285821198404e-06;0.0029512656407423518;4.9593771637984361;0.0059600562679951175;4.8196555480254998e-06;-5.7921423019863987e-09
0.0099337748344370865;13336.965337220066;4.8138634057235134e-06;0.0029521844978827516;8.7594662214478571;0.0097612380040832392;8.5126838668595804e-06;-9.4862325146314943e-09
0.013245033112582781;13340.769227459452;8.5031976343449498e-06;0.0029534566329609802;13.572523964108854;0.013800003602142397;1.3190142282749583e-05;-1.3411213087946232e-08
0.016556291390728478;13345.586323967711;1.3176731069661638e-05;0.0029550680078674224;19.345126285959964;0.017756350289234391;1.880011181887188e-05;-1.7256096755736993e-08
0.019867549668874173;13351.362882636249;1.8782855722116143e-05;0.0029570009135119553;26.013283867654049;0.021319599125979138;2.528040594094619e-05;-2.0718957404296996e-08
0.023178807947019868;13358.03460346678;2.5259686983541892e-05;0.0029592341375571777;33.503215250347772;0.0242129310012551;3.2559321851281721e-05;-2.3530774809286514e-08
0.026490066225165563;13365.527428181349;3.2535791076472435e-05;0.0029617432145638695;41.73223113670641;0.026179869880859741;4.0556499876171986e-05;-2.5442298690054574e-08
0.029801324503311258;13373.758411006587;4.0531057577481928e-05;0.0029645006996506214;50.609716387785042;0.027069280792392902;4.9183877796770011e-05;-2.6306652034368422e-08
0.033112582781456956;13382.636785668577;4.9157571144735636e-05;0.0029674765077305049;60.038194570465748;0.026859523078208269;5.834672540479114e-05;-2.6102803869481602e-08
0.036423841059602648;13392.065054093544;5.8320622600921655e-05;0.0029706382607653631;69.914459687420702;0.025691983472398761;6.7944744348008955e-05;-2.4968157612576957e-08
0.039735099337748346;13401.940151670893;6.7919776190396378e-05;0.0029739516622056036;80.13075914659106;0.023862617285942633;7.7873217771667593e-05;-2.3190330558940436e-08
0.043046357615894038;13412.154621763877;7.7850027441108652e-05;0.0029773808767691702;90.576012381114396;0.021830738814777817;8.8024194605971497e-05;-2.1215696643446969e-08
